000010388	2024-08-19	20240000840978
000010777	2025-02-03	20250000042852
000020180	2025-01-08	20250000009181
000020393	2025-04-25	20250000201768
000020474	2025-01-13	20250000014632
000020481	2024-10-01	20240000910015
000020493	2025-09-30	20250000766139
000021173	2025-06-27	20250000482369
000030177	2025-03-14	20250000119054
000030467	2023-09-27	20230000712888
000030585	2025-02-06	20250000048564
000030667	2024-11-19	20240000982991
000030787	2025-03-18	20250000125491
000030796	2024-05-22	20240000433212
000030882	2024-03-11	20240000286328
000031292	2024-03-05	20240000277208
000040696	2024-10-21	20240000940742
000040782	2024-06-06	20240000512408
000040790	2025-02-07	20250000049466
000040994	2024-11-26	20240000991056
000050182	2025-05-08	20250000236771
000050365	2025-03-17	20250000122066
000050678	2025-11-03	20250000816159
000050883	2025-03-19	20250000127333
000060264	2025-12-01	20250000855836
000060387	2025-03-11	20250000107231
000061083	2024-06-28	20240000616337
000061283	2025-02-10	20250000052498
000070875	2025-12-05	20250000864960
000070892	2025-03-12	20250000110421
000070971	2024-02-29	20240000270253
000090274	2025-02-27	20250000085036
000090296	2025-06-05	20250000382919
000090371	2025-01-09	20250000011216
000090466	2024-10-16	20240000933289
000090689	2024-11-27	20240000993364
000090794	2024-06-25	20240000593580
000090878	2025-04-28	20250000209681
000091183	2024-12-04	20240001004431
000091274	2025-05-09	20250000241003
000100366	2024-12-20	20240001030951
000100396	2025-01-07	20250000006853
000100787	2025-01-13	20250000015164
000100972	2025-07-09	20250000560353
000101187	2024-12-05	20240001006956
000110183	2025-10-14	20250000787483
000110690	2025-09-19	20250000749934
000110691	2024-11-19	20240000983033
000110979	2025-04-23	20250000196903
000111061	2025-01-14	20250000016778
000120688	2024-05-22	20240000433380
000121082	2020-12-23	20200001053136
000121186	2025-02-12	20250000055846
000121200	2025-12-02	20250000858509
000121293	2024-11-11	20240000968647
000140869	2025-04-24	20250000198558
000141269	2024-12-20	20240001031476
000150172	2025-02-10	20250000052460
000150180	2025-10-21	20250000796553
000150584	2024-12-10	20240001013617
000151279	2025-06-23	20250000449952
000160272	2025-11-25	20250000849394
000160566	2025-02-20	20250000071385
000160679	2021-06-04	20210000265230
000160770	2024-05-02	20240000389998
000170270	2025-03-07	20250000101638
000170596	2025-06-17	20250000422276
000171085	2025-11-12	20250000831391
000190469	2025-03-18	20250000125681
000190693	2024-04-12	20240000346403
000190770	2025-03-27	20250000145471
000190775	2018-11-09	20180000710319
000190790	2025-02-24	20250000076728
000191167	2025-10-14	20250000787835
000200296	2025-09-08	20250000731056
000200582	2025-05-26	20250000321692
000200675	2024-09-13	20240000884878
000200990	2025-06-03	20250000369597
000210183	2024-11-07	20240000967412
000210199	2024-11-04	20240000961588
000210380	2024-11-04	20240000961371
000210660	2025-01-07	20250000006490
000210949	2023-04-19	20230000193656
000210995	2025-03-31	20250000152362
000220889	2025-11-24	20250000847712
000240284	2025-06-26	20250000472611
000240744	2023-08-15	20230000632536
000250170	2024-11-19	20240000982381
000250358	2025-02-27	20250000085018
000250358	2025-10-02	20250000769716
000250461	2023-03-13	20230000111745
000250563	2026-01-16	20260000018560
000250583	2025-04-30	20250000216091
000250888	2024-10-09	20240000922267
000260794	2025-06-03	20250000369598
000260987	2024-11-04	20240000960723
000261176	2025-04-01	20250000156100
000261276	2024-04-09	20240000338235
000270493	2025-11-24	20250000846840
000270590	2024-12-19	20240001029309
000271000	2025-02-04	20250000045412
000271082	2023-10-17	20230000744932
000271289	2025-06-17	20250000422799
000280161	2025-12-03	20250000860794
000280481	2025-11-27	20250000853224
000280781	2025-06-24	20250000456088
000290683	2025-04-09	20250000175932
000290977	2025-03-17	20250000121883
000291277	2025-03-14	20250000119118
000300487	2025-10-14	20250000787899
000300754	2024-08-29	20240000860491
000300976	2025-02-21	20250000073869
000301076	2025-04-29	20250000214427
