921825854	2019-07-22	20190000535595
921827091	2020-07-14	20200000679262
921833571	2020-03-24	20200000417929
921834500	2010-01-04	20100000000885
921834500	2016-08-31	20160000469440
921834853	2021-09-08	20210000539120
921835418	2021-08-18	20210000480754
921835574	2018-12-05	20180000745612
921835744	2018-12-05	20180000745608
921838425	2025-01-22	20250000027529
921838875	2021-03-08	20210000089385
921877722	2023-05-30	20230000295463
921880650	2019-04-01	20190000142465
921881088	2022-08-25	20220000622744
921882238	2018-12-15	20180000758171
921882823	2018-12-13	20180000756511
921886837	2019-11-28	20190000780407
921887701	2018-12-20	20180000765524
921888945	2019-02-26	20190000080147
921891636	2020-12-09	20200001032546
921893043	2019-05-21	20190000238722
921894864	2022-01-04	20220000004528
921902093	2024-02-06	20240000238951
921902344	2019-02-14	20190000063247
921915888	2003-01-21	20030000011334
921923899	2009-02-02	20090000031167
921932820	2019-04-04	20190000148337
921942370	2008-10-04	20080000443723
921988923	2021-09-08	20210000539106
921989709	2021-10-14	20210000654574
921989725	2020-04-14	20200000450835
921990278	2019-07-23	20190000541481
921991711	2020-07-23	20200000703062
921994273	2020-12-29	20200001058829
921994354	2020-10-20	20200000952460
921994524	2020-03-17	20200000404026
921995091	2003-12-23	20030000415109
921996551	2019-12-17	20190000806162
922004846	2021-09-09	20210000542104
922015260	2024-11-28	20240000996010
922017255	2023-12-13	20230000820821
922018294	2019-11-21	20190000770141
922018383	2025-11-13	20250000834668
922018448	2023-12-11	20230000816991
922019665	2025-08-02	20250000661031
922038538	2025-03-21	20250000133131
922038740	2026-03-10	20260000105322
922039232	2019-05-24	20190000261057
922039720	2024-11-11	20240000968909
922043035	2019-01-23	20190000031283
922043329	2023-08-08	20230000613906
922043450	2023-08-09	20230000618032
922043574	2020-07-29	20200000714699
922043655	2021-03-01	20210000079358
922043744	2019-01-16	20190000023386
922044104	2024-01-03	20240000188218
922047847	2019-04-29	20190000185407
922049130	2019-01-30	20190000038188
922050953	2019-02-19	20190000069298
922050953	2023-06-24	20230000397636
922053464	2023-03-16	20230000120491
922055181	2024-06-17	20240000554756
922055203	2019-02-09	20190000053916
922060592	2019-01-15	20190000020941
922061017	2019-03-07	20190000096767
922061084	2019-04-29	20190000188195
922062056	2019-09-03	20190000660692
924419377	2021-08-17	20210000477794
924420162	2021-09-23	20210000582008
924421061	2025-01-06	20250000004095
924421673	2026-02-24	20260000076398
924421746	2020-04-02	20200000441783
924421819	2020-05-30	20200000539273
924421959	2021-06-14	20210000293555
924421983	2020-03-23	20200000414333
924438355	2020-12-17	20200001045526
924442123	2020-03-23	20200000413995
924444665	2022-01-27	20220000039793
924447699	2022-12-14	20220000785260
924447974	2024-02-22	20240000259555
924454148	2022-08-05	20220000575794
924456043	2021-09-02	20210000524337
924457724	2001-08-09	20010000250695
924459042	2025-06-14	20250000412013
924460490	2020-10-14	20200000941720
924460776	2020-12-29	20200001057855
924461942	2024-02-06	20240000238746
924462345	2020-01-31	20200000338848
924462396	2020-05-12	20200000507174
924462868	2021-09-21	20210000571232
924462957	2021-03-16	20210000105454
924462965	2022-09-28	20220000674130
924462965	2023-02-08	20230000051698
924463252	2020-04-21	20200000465448
924505869	2020-04-14	20200000451077
924506695	2022-12-01	20220000766920
924506695	2024-12-07	20240001009800
924554266	2024-08-19	20240000841135
924555424	2022-12-20	20220000794816
924555645	2020-03-09	20200000389631
924556730	2025-07-29	20250000641876
924556757	2022-10-04	20220000681032
924559268	2021-08-21	20210000488579
924562242	2024-06-17	20240000555038
924562595	2020-07-30	20200000717674
924563400	2023-11-10	20230000779169
924565675	2020-02-10	20200000348921
924567554	2023-10-14	20230000740722
924568542	2024-11-04	20240000961978
924569670	2008-01-10	20080000012349
924570563	2020-12-17	20200001045510
924570563	2021-05-26	20210000231186
924570695	2020-11-18	20200000998254
924570784	2021-06-12	20210000285523
924570806	2023-09-29	20230000716737
924571179	2024-11-27	20240000993708
924571772	2023-06-17	20230000369990
924572817	2022-07-12	20220000460110
924573783	2020-05-04	20200000489124
924574917	2024-11-16	20240000978895
924575301	2024-05-29	20240000466991
924575468	2025-07-30	20250000644887
924575859	2023-11-27	20230000799447
924576820	2024-03-23	20240000313165
924577339	2021-07-19	20210000410948
924578238	2024-01-11	20240000202280
924580577	2020-06-29	20200000626179
924581395	2024-09-26	20240000903153
924581395	2024-09-26	20240000903154
924581425	2023-06-01	20230000310797
924581492	2024-12-31	20240001037877
924581700	2020-03-10	20200000393599
924581751	2020-05-15	20200000516155
924581751	2022-06-13	20220000315944
924582006	2022-05-14	20220000212132
924582537	2021-06-02	20210000260524
924584726	2025-04-11	20250000182181
924593105	2020-05-27	20200000531074
924596422	2024-05-06	20240000399634
924598018	2024-07-10	20240000688269
924598026	2020-12-22	20200001051183
924598026	2023-08-24	20230000658865
924601485	2020-06-02	20200000542216
924642858	2021-04-26	20210000166340
924642882	2023-02-13	20230000057600
924643781	2024-02-21	20240000258231
924643781	2024-02-21	20240000258234
924643897	2020-06-25	20200000617852
924644192	2022-08-03	20220000567137
924647922	2009-10-20	20090000455013
924690429	2020-04-27	20200000477005
924690496	2020-04-23	20200000470942
924711833	2023-08-29	20230000669316
924712112	2024-01-19	20240000216090
924716304	2024-02-16	20240000251811
924716886	2021-01-26	20210000036045
924721987	2021-09-02	20210000521564
924721987	2023-05-22	20230000268206
924723807	2020-11-30	20200001016106
924726229	2020-05-05	20200000491967
924727373	2022-12-07	20220000774742
924728469	2020-04-01	20200000434095
924731036	2025-05-28	20250000338129
924732032	2023-06-16	20230000367854
924732059	2021-06-09	20210000276208
924739207	2024-04-03	20240000324169
924740485	2021-06-09	20210000276029
924740906	2020-03-26	20200000423447
924745827	2004-08-24	20040000332023
924747021	2023-03-01	20230000089858
924753129	2024-05-29	20240000463460
924754052	2025-09-05	20250000728835
924754753	2020-07-23	20200000702847
921849044	2024-11-15	20240000976760
921850158	2019-04-03	20190000146624
921852398	2025-10-11	20250000784308
921852932	2018-12-12	20180000754438
921854099	2022-07-19	20220000487652
921858833	2020-12-14	20200001039528
921859473	2022-07-08	20220000441883
921859775	2021-07-19	20210000408865
921861036	2024-12-03	20240001003388
921863993	2023-11-08	20230000776265
921864604	2019-01-09	20190000012596
921864876	2020-03-10	20200000392622
921956711	2024-12-14	20240001021812
921959621	2023-08-16	20230000640490
921960301	2025-03-13	20250000112952
921964129	2019-02-04	20190000047256
921965524	2020-04-01	20200000434013
921965591	2021-03-23	20210000116801
921965877	2021-05-31	20210000244230
921966180	2020-07-17	20200000690628
921969031	2018-12-20	20180000767211
921977409	2018-12-24	20180000770742
922021457	2025-12-23	20250000897892
922021694	2022-12-08	20220000776207
922031142	2022-06-14	20220000319411
922032432	2022-09-20	20220000662651
922037884	2020-08-31	20200000783423
922037884	2020-09-09	20200000823607
922038392	2019-02-02	20190000046213
924413654	2022-05-24	20220000237168
924427213	2020-09-22	20200000868343
924427973	2022-12-08	20220000777847
924430729	2020-04-03	20200000442581
924431105	2020-11-10	20200000987183
924435151	2025-05-28	20250000340515
924436549	2021-12-08	20210000753878
924465379	2003-09-27	20030000325412
924469188	2020-03-23	20200000414590
924471107	2020-10-24	20200000962583
924475331	2024-01-04	20240000191349
924480939	2020-12-08	20200001029472
924482192	2022-07-28	20220000531871
924486759	2021-05-26	20210000233116
924487534	2020-01-30	20200000338030
924487534	2024-06-15	20240000549183
924487917	2020-10-30	20200000971381
924487976	2004-03-31	20040000090531
924488166	2022-12-29	20220000804117
924489219	2024-06-01	20240000481227
924489375	2010-04-19	20100000113735
924494107	2022-12-14	20220000785190
924494255	2020-02-10	20200000350340
924494603	2024-08-03	20240000803391
924511680	2021-10-14	20210000655315
924520132	2021-06-29	20210000349103
924520868	2024-05-25	20240000444958
924524340	2021-06-28	20210000343880
924526327	2022-07-01	20220000404442
924526904	2020-02-28	20200000372760
924529741	2022-10-17	20220000697594
924538430	2021-03-16	20210000103304
924538430	2021-03-23	20210000116633
924538546	2020-02-10	20200000349874
924542705	2024-11-05	20240000963352
924548401	2017-03-28	20170000109373
924543213	2020-02-10	20200000350840
924543213	2024-05-22	20240000433965
924544511	2021-12-21	20210000770376
924547936	2022-03-07	20220000089853
924604735	2022-09-23	20220000668070
924618353	2020-10-24	20200000961208
924627646	2025-12-10	20250000871946
924628219	2025-12-30	20250000901140
924673648	2024-08-05	20240000809849
924680601	2025-01-06	20250000004137
924683147	2020-05-26	20200000528258
924694971	2021-04-09	20210000139975
924695773	2020-04-03	20200000442764
924696265	2021-03-17	20210000106323
924703237	2020-06-17	20200000589111
924703318	2025-07-30	20250000645836
924758597	2023-09-26	20230000711235
924758597	2023-09-26	20230000711236
924758627	2020-04-23	20200000471836
924758694	2023-01-18	20230000024652
924767413	2020-11-18	20200000997523
924771933	2021-08-30	20210000510430
924776242	2024-11-18	20240000981022
924776358	2025-09-18	20250000747380
924777338	2025-01-31	20250000040527
924778377	2022-08-30	20220000630671
924780479	2023-08-01	20230000579083
924782226	2025-05-14	20250000267326
924782374	2025-02-15	20250000062976
924782528	2022-09-05	20220000638111
924782528	2024-06-18	20240000559438
924782625	2023-06-08	20230000337121
924783109	2021-09-11	20210000550132
924804041	2013-08-27	20130000385192
924811633	2023-12-15	20230000824487
924815744	2021-09-08	20210000540122
924816937	2020-06-19	20200000598127
924818816	2012-08-07	20120000328121
924824891	2020-07-08	20200000661279
924824948	2021-12-15	20210000762391
924826878	2022-11-04	20220000724299
924829249	2023-01-10	20230000012561
924830263	2024-01-31	20240000230418
924830689	2021-04-27	20210000170712
924845228	2020-07-13	20200000674888
924847085	2024-10-28	20240000951629
924847190	2020-11-26	20200001010459
924847190	2021-12-22	20210000772420
924847514	2020-07-03	20200000646317
924847816	2023-08-31	20230000672810
924848626	2020-07-09	20200000665754
924854235	2025-12-17	20250000887629
924862076	2022-09-22	20220000665378
924862416	2020-07-06	20200000650692
924862416	2020-10-22	20200000958454
924862742	2023-05-08	20230000234115
924862971	2021-06-08	20210000272450
924865385	2021-01-05	20210000002560
924865784	2001-09-10	20010000283101
924896566	2023-02-13	20230000057328
924897651	2021-05-25	20210000227913
924899603	2025-12-12	20250000877765
924901020	2020-11-24	20200001007157
924907088	2021-03-01	20210000078584
924910909	2020-09-09	20200000828735
924911239	2023-03-24	20230000140658
924914386	2020-09-09	20200000824204
924914386	2022-04-07	20220000144344
924914505	2020-07-06	20200000651468
924916400	2024-01-31	20240000230565
924916672	2023-07-10	20230000481014
924916761	2021-02-22	20210000067930
924916958	2024-07-17	20240000720919
924917792	2001-12-18	20010000357918
924917792	2013-10-03	20130000486856
924926848	2022-08-02	20220000556718
924927356	2020-12-01	20200001017180
924939613	2020-10-20	20200000952955
924939761	2020-04-18	20200000461570
924943254	2025-12-20	20250000892142
924944374	2022-12-15	20220000787426
924949457	2020-12-05	20200001026391
924949546	2023-08-14	20230000627349
924960574	2017-06-14	20170000264937
924951737	2025-09-25	20250000759454
924952121	2023-06-24	20230000398178
924952393	2020-07-06	20200000651034
924952504	2020-04-21	20200000466058
924953039	2020-07-02	20200000641434
924953632	2024-07-17	20240000723595
924954639	2024-06-19	20240000566864
924956186	2023-05-31	20230000300585
924958421	2024-05-07	20240000405146
924958529	2020-04-22	20200000467972
924959436	2020-04-22	20200000468712
924960574	2000-12-08	20000000345000
924964707	2020-04-22	20200000468883
924966289	2025-03-05	20250000097589
924969504	2023-06-28	20230000421342
924970286	2021-09-29	20210000604736
924971479	2023-05-16	20230000257939
924973137	2024-04-27	20240000380447
924973250	2025-07-23	20250000616189
924984295	2022-05-11	20220000199415
924985747	2024-02-15	20240000249956
924986557	2021-01-18	20210000023953
925009695	2023-04-19	20230000193338
925010758	2023-04-28	20230000214715
925010847	2021-03-04	20210000085480
925011762	2020-05-26	20200000528573
925011762	2020-07-21	20200000696748
925017159	2021-03-22	20210000114737
925021806	2023-03-20	20230000129352
925023426	2020-12-09	20200001032702
925024430	2020-07-08	20200000660971
925027170	2021-12-01	20210000744118
925029343	2023-10-23	20230000752813
925029637	2024-05-29	20240000463335
925030872	2006-12-14	20060000505989
925032751	2021-01-26	20210000036470
925051160	2021-06-14	20210000292874
925053023	2021-11-09	20210000710210
925053147	2021-10-02	20210000620459
925054453	2024-11-26	20240000992049
925055158	2021-03-19	20210000112346
925056383	2021-03-15	20210000100586
925060143	2025-06-03	20250000372263
925060593	2020-05-29	20200000538502
925061379	2026-01-08	20260000005212
925065706	2016-10-04	20160000539196
